,WRank,LRank,Surface,WPts,LPts,A,B,C,D,E,ACourt,BCourt,CCourt,DCourt,ECourt,AOpponentRank,BOpponentRank,COpponentRank,DOpponentRank,EOpponentRank,APlayerRank,BPlayerRank,CPlayerRank,DPlayerRank,EPlayerRank
0,355,221.0,1,126,246.0,0,0,1,0,1,2,1,1,1,1,113.0,135.0,110.0,6.0,123.0,1690.0,1753.0,1821.0,1821.0,355.0
0,355,160.0,1,126,349.0,0,1,0,1,1,1,1,1,1,1,135.0,110.0,6.0,123.0,355.0,1753.0,1821.0,1821.0,355.0,221.0
0,355,70.0,1,126,760.0,1,0,1,1,1,1,1,1,1,1,110.0,6.0,123.0,355.0,355.0,1821.0,1821.0,355.0,221.0,160.0
0,355,26.0,1,126,1627.0,0,1,1,1,1,1,1,1,1,1,6.0,123.0,355.0,355.0,355.0,1821.0,355.0,221.0,160.0,70.0
0,153,106.0,1,376,536.0,1,1,1,1,1,1,1,1,1,1,123.0,355.0,355.0,355.0,355.0,355.0,221.0,160.0,70.0,26.0
0,15,153.0,1,2175,376.0,1,1,1,1,1,1,1,1,1,1,355.0,355.0,355.0,355.0,153.0,221.0,160.0,70.0,26.0,106.0
0,44,132.0,1,1106,425.0,1,1,1,1,0,1,1,1,1,1,355.0,355.0,355.0,153.0,153.0,160.0,70.0,26.0,106.0,15.0
0,30,134.0,1,1420,425.0,1,1,1,0,0,1,1,1,1,1,355.0,355.0,153.0,153.0,132.0,70.0,26.0,106.0,15.0,44.0
0,18,128.0,1,1940,431.0,1,1,0,0,0,1,1,1,1,1,355.0,153.0,153.0,132.0,134.0,26.0,106.0,15.0,44.0,30.0
0,144,157.0,3,401,357.0,0,0,1,0,0,2,2,2,2,1,38.0,81.0,75.0,38.0,55.0,168.0,167.0,169.0,169.0,448.0
0,35,144.0,3,1211,401.0,0,1,0,0,1,2,2,2,1,3,81.0,75.0,38.0,55.0,144.0,167.0,169.0,169.0,448.0,157.0
0,139,118.0,1,421,490.0,1,0,0,1,0,2,2,1,3,3,75.0,38.0,55.0,144.0,144.0,169.0,169.0,448.0,157.0,35.0
0,267,139.0,1,199,421.0,0,0,1,0,1,2,1,3,3,1,38.0,55.0,144.0,144.0,139.0,169.0,448.0,157.0,35.0,118.0
0,133,18.0,2,441,1870.0,0,1,0,1,0,1,3,3,1,1,55.0,144.0,144.0,139.0,139.0,448.0,157.0,35.0,118.0,267.0
0,68,133.0,2,822,441.0,1,0,1,0,1,3,3,1,1,2,144.0,144.0,139.0,139.0,133.0,157.0,35.0,118.0,267.0,18.0
0,28,117.0,2,1385,480.0,0,1,0,1,0,3,1,1,2,2,144.0,139.0,139.0,133.0,133.0,35.0,118.0,267.0,18.0,68.0
0,147,423.0,2,402,91.0,1,0,1,0,0,1,1,2,2,2,139.0,139.0,133.0,133.0,117.0,118.0,267.0,18.0,68.0,28.0
0,147,23.0,2,402,1630.0,0,1,0,0,1,1,2,2,2,2,139.0,133.0,133.0,117.0,147.0,267.0,18.0,68.0,28.0,423.0
0,123,147.0,2,453,402.0,1,0,0,1,1,2,2,2,2,2,133.0,133.0,117.0,147.0,147.0,18.0,68.0,28.0,423.0,23.0
0,40,109.0,2,1117,534.0,0,0,1,1,0,2,2,2,2,2,133.0,117.0,147.0,147.0,147.0,68.0,28.0,423.0,23.0,123.0
0,166,155.0,2,340,373.0,0,1,0,0,1,2,1,1,3,2,7.0,96.0,22.0,27.0,82.0,182.0,163.0,163.0,159.0,166.0
0,166,120.0,2,340,470.0,1,0,0,1,1,1,1,3,2,2,96.0,22.0,27.0,82.0,166.0,163.0,163.0,159.0,166.0,155.0
0,166,12.0,2,340,2475.0,0,0,1,1,1,1,3,2,2,2,22.0,27.0,82.0,166.0,166.0,163.0,159.0,166.0,155.0,120.0
0,39,166.0,2,1115,340.0,0,1,1,1,1,3,2,2,2,2,27.0,82.0,166.0,166.0,166.0,159.0,166.0,155.0,120.0,12.0
0,112,66.0,2,519,790.0,1,0,1,1,0,2,2,2,2,2,119.0,32.0,185.0,25.0,187.0,123.0,123.0,123.0,123.0,123.0
0,34,112.0,2,1332,519.0,0,1,1,0,1,2,2,2,2,2,32.0,185.0,25.0,187.0,112.0,123.0,123.0,123.0,123.0,66.0
0,102,255.0,2,564,197.0,1,1,0,1,0,2,2,2,2,2,185.0,25.0,187.0,112.0,112.0,123.0,123.0,123.0,66.0,34.0
0,102,17.0,2,564,2220.0,1,0,1,0,1,2,2,2,2,2,25.0,187.0,112.0,112.0,102.0,123.0,123.0,66.0,34.0,255.0
0,102,97.0,2,564,595.0,0,1,0,1,1,2,2,2,2,2,187.0,112.0,112.0,102.0,102.0,123.0,66.0,34.0,255.0,17.0
0,38,102.0,2,1270,564.0,1,0,1,1,1,2,2,2,2,2,112.0,112.0,102.0,102.0,102.0,66.0,34.0,255.0,17.0,97.0
0,49,82.0,2,1038,670.0,0,1,1,1,0,2,2,2,2,2,112.0,102.0,102.0,102.0,102.0,34.0,255.0,17.0,97.0,38.0
0,118,80.0,1,465,699.0,1,1,1,0,0,2,2,2,2,2,102.0,102.0,102.0,102.0,82.0,255.0,17.0,97.0,38.0,49.0
0,204,83.0,1,295,689.0,1,1,0,0,0,2,2,2,2,1,102.0,102.0,102.0,82.0,80.0,17.0,97.0,38.0,49.0,118.0
0,315,84.0,1,159,689.0,1,0,0,0,0,2,2,2,1,1,102.0,102.0,82.0,80.0,83.0,97.0,38.0,49.0,118.0,204.0
0,176,84.0,3,328,689.0,0,0,0,0,0,2,2,1,1,1,102.0,82.0,80.0,83.0,84.0,38.0,49.0,118.0,204.0,315.0
0,95,7.0,3,599,3835.0,0,0,0,0,0,2,1,1,1,3,82.0,80.0,83.0,84.0,84.0,49.0,118.0,204.0,315.0,176.0
0,40,95.0,3,1130,599.0,0,0,0,0,1,1,1,1,3,3,80.0,83.0,84.0,84.0,95.0,118.0,204.0,315.0,176.0,7.0
0,95,96.0,1,600,599.0,0,0,0,1,0,1,1,3,3,3,83.0,84.0,84.0,95.0,95.0,204.0,315.0,176.0,7.0,40.0
0,95,169.0,2,599,333.0,0,0,1,0,0,1,3,3,3,1,84.0,84.0,95.0,95.0,96.0,315.0,176.0,7.0,40.0,95.0
0,95,42.0,2,599,1030.0,0,1,0,0,1,3,3,3,1,2,84.0,95.0,95.0,96.0,95.0,176.0,7.0,40.0,95.0,169.0
0,55,95.0,2,917,599.0,1,0,0,1,1,3,3,1,2,2,95.0,95.0,96.0,95.0,95.0,7.0,40.0,95.0,169.0,42.0
0,91,55.0,2,644,920.0,0,0,1,1,0,3,1,2,2,2,95.0,96.0,95.0,95.0,95.0,40.0,95.0,169.0,42.0,55.0
0,23,91.0,2,1685,644.0,0,1,1,0,1,1,2,2,2,2,96.0,95.0,95.0,95.0,91.0,95.0,169.0,42.0,55.0,55.0
0,69,92.0,2,815,635.0,1,1,0,1,0,2,2,2,2,2,95.0,95.0,95.0,91.0,91.0,169.0,42.0,55.0,55.0,23.0
0,93,106.0,2,615,521.0,1,0,1,0,0,2,2,2,2,2,95.0,95.0,91.0,91.0,92.0,42.0,55.0,55.0,23.0,69.0
0,17,93.0,2,1915,615.0,0,1,0,0,1,2,2,2,2,2,95.0,91.0,91.0,92.0,93.0,55.0,55.0,23.0,69.0,106.0
0,63,92.0,2,824,630.0,1,0,0,1,0,2,2,2,2,2,91.0,91.0,92.0,93.0,93.0,55.0,23.0,69.0,106.0,17.0
0,22,116.0,2,1735,480.0,0,0,1,0,0,2,2,2,2,2,91.0,92.0,93.0,93.0,92.0,23.0,69.0,106.0,17.0,63.0
0,39,149.0,2,1115,386.0,0,0,1,1,0,1,1,1,1,1,95.0,88.0,41.0,402.0,107.0,195.0,190.0,177.0,177.0,177.0
0,129,82.0,2,448,669.0,1,1,0,1,1,2,2,2,2,2,451.0,36.0,64.0,72.0,35.0,138.0,138.0,138.0,129.0,129.0
