,P1Rank,P2Rank,P1Pts,P2Pts,Surface,AP1Surface,AP1Rank,AP1OppRank,BP1Surface,BP1Rank,BP1OppRank,CP1Surface,CP1Rank,CP1OppRank,AP2Surface,AP2Rank,AP2OppRank,BP2Surface,BP2Rank,BP2OppRank,CP2Surface,CP2Rank,CP2OppRank,AP1Win,BP1Win,CP1Win,AP2Win,BP2Win,CP2Win
8236,30,46,1330,1015,2,2,46,30,2,46,30,2,46,30,2,46,30,2,46,30,2,46,30,0,1,0,0,0,0
8265,46,26,1025,1575,2,2,26,46,2,26,46,2,26,46,2,26,46,2,26,46,2,26,46,0,0,1,0,1,0
8294,43,93,1025,617,2,2,93,43,2,93,43,2,93,43,2,93,43,2,93,43,2,93,43,0,1,0,1,0,0
8323,73,43,753,1025,2,2,73,43,2,73,43,2,73,43,2,73,43,2,73,43,2,73,43,1,0,0,1,0,0
8352,43,96,1025,599,2,2,43,96,2,43,96,2,43,96,2,43,96,2,43,96,2,43,96,0,0,1,0,0,1
8381,46,25,1025,1588,3,3,25,46,3,25,46,3,25,46,3,25,46,3,25,46,3,25,46,0,1,1,0,1,0
8410,61,22,910,1665,3,3,22,61,3,22,61,3,22,61,3,22,61,3,22,61,3,22,61,1,1,1,1,1,1
8439,62,61,903,910,3,3,61,62,3,61,62,3,61,62,3,61,62,3,61,62,3,61,62,1,1,0,1,1,0
8468,61,53,910,962,3,3,61,53,3,61,53,3,61,53,3,61,53,3,61,53,3,61,53,1,0,1,1,0,1
8497,121,61,454,910,3,3,61,121,3,61,121,3,61,121,3,61,121,3,61,121,3,61,121,0,0,0,0,1,1
8526,72,30,780,1395,3,3,30,72,3,30,72,3,30,72,3,30,72,3,30,72,3,30,72,1,1,1,1,1,1
8555,69,72,833,780,3,3,72,69,3,72,69,3,72,69,3,72,69,3,72,69,3,72,69,1,1,1,1,1,1
8584,72,110,780,515,3,3,72,110,3,72,110,3,72,110,3,72,110,3,72,110,3,72,110,1,1,0,1,1,0
8613,25,72,1535,780,3,3,72,25,3,72,25,3,72,25,3,72,25,3,72,25,3,72,25,0,0,0,1,0,1
8642,72,68,780,834,3,3,72,68,3,72,68,3,72,68,3,72,68,3,72,68,3,72,68,0,1,0,0,1,0
8671,87,86,680,680,1,1,87,86,1,87,86,1,87,86,1,87,86,1,87,86,1,87,86,1,0,1,1,0,1
8700,86,20,680,1750,1,1,86,20,1,86,20,1,86,20,1,86,20,1,86,20,1,86,20,0,1,1,0,0,0
8729,114,87,491,675,1,1,114,87,1,114,87,1,114,87,1,114,87,1,114,87,1,114,87,1,1,1,1,1,1
8758,87,100,675,601,1,1,87,100,1,87,100,1,87,100,1,87,100,1,87,100,1,87,100,1,1,0,1,1,0
8787,87,92,675,664,1,1,87,92,1,87,92,1,87,92,1,87,92,1,87,92,1,87,92,1,0,0,1,0,1
8816,75,87,732,675,1,1,87,75,1,87,75,1,87,75,1,87,75,1,87,75,1,87,75,0,1,1,0,0,1
8845,34,84,1340,685,1,1,34,84,1,34,84,1,34,84,1,34,84,1,34,84,1,34,84,0,1,1,0,1,1
8874,25,90,1630,640,2,2,25,90,2,25,90,2,25,90,2,25,90,2,25,90,2,25,90,1,1,0,1,1,1
8903,4,90,4600,640,2,2,90,4,2,90,4,2,90,4,2,90,4,2,90,4,2,90,4,1,0,0,1,1,0
8932,90,37,640,1305,2,2,90,37,2,90,37,2,90,37,2,90,37,2,90,37,2,90,37,1,0,1,0,0,0
8961,115,90,496,640,2,2,90,115,2,90,115,2,90,115,2,90,115,2,90,115,2,90,115,1,0,1,0,1,1
8990,1,100,10060,580,2,2,1,100,2,1,100,2,1,100,2,1,100,2,1,100,2,1,100,1,1,1,1,1,1
9019,100,23,580,1715,2,2,100,23,2,100,23,2,100,23,2,100,23,2,100,23,2,100,23,1,1,0,1,0,1
9048,100,19,580,2190,2,2,100,19,2,100,19,2,100,19,2,100,19,2,100,19,2,100,19,1,0,0,1,1,1
9077,100,58,580,907,2,2,100,58,2,100,58,2,100,58,2,100,58,2,100,58,2,100,58,0,0,1,0,1,1
9106,96,10,580,2815,2,2,10,96,2,10,96,2,10,96,2,10,96,2,10,96,2,10,96,0,1,0,0,1,1
9135,26,21,1630,1768,2,2,21,26,2,21,26,2,21,26,2,21,26,2,21,26,2,21,26,1,0,0,1,0,1
9164,93,26,597,1630,2,2,26,93,2,26,93,2,26,93,2,26,93,2,26,93,2,26,93,0,1,0,0,0,0
9193,23,31,1630,1295,2,2,31,23,2,31,23,2,31,23,2,31,23,2,31,23,2,31,23,0,0,1,0,1,0
9222,147,23,402,1630,2,2,147,23,2,147,23,2,147,23,2,147,23,2,147,23,2,147,23,1,0,0,0,1,0
9251,23,84,1630,681,2,2,84,23,2,84,23,2,84,23,2,84,23,2,84,23,2,84,23,1,0,1,1,0,1
9280,23,104,1630,540,2,2,23,104,2,23,104,2,23,104,2,23,104,2,23,104,2,23,104,0,1,1,0,0,0
9309,23,12,1630,2380,2,2,12,23,2,12,23,2,12,23,2,12,23,2,12,23,2,12,23,1,1,0,1,0,1
9338,60,23,899,1630,2,2,23,60,2,23,60,2,23,60,2,23,60,2,23,60,2,23,60,1,1,0,1,0,1
9367,69,23,815,1630,2,2,23,69,2,23,69,2,23,69,2,23,69,2,23,69,2,23,69,1,0,0,0,1,0
9396,25,3,1595,5410,2,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,1,0,1,0,1,1
9425,25,20,1595,1815,2,2,25,20,2,25,20,2,25,20,2,25,20,2,25,20,2,25,20,0,1,0,0,0,0
9454,23,72,1685,803,2,2,72,23,2,72,23,2,72,23,2,72,23,2,72,23,2,72,23,1,0,1,1,1,0
9483,91,23,644,1685,2,2,23,91,2,23,91,2,23,91,2,23,91,2,23,91,2,23,91,1,0,1,0,1,0
9512,23,53,1685,920,2,2,53,23,2,53,23,2,53,23,2,53,23,2,53,23,2,53,23,1,0,0,1,1,0
9541,23,65,1685,849,2,2,23,65,2,23,65,2,23,65,2,23,65,2,23,65,2,23,65,0,0,1,1,0,1
9570,44,21,1120,1817,1,1,44,21,1,44,21,1,44,21,1,44,21,1,44,21,1,44,21,0,0,0,0,1,1
9599,22,3,1817,5195,1,1,3,22,1,3,22,1,3,22,1,3,22,1,3,22,1,3,22,1,1,0,1,1,0
9628,22,122,1817,451,1,1,22,122,1,22,122,1,22,122,1,22,122,1,22,122,1,22,122,1,0,1,1,1,0
9657,7,2,4050,7445,2,2,2,7,2,2,7,2,2,7,2,2,7,2,2,7,2,2,7,1,1,0,1,1,1
9686,7,10,4050,3335,2,2,7,10,2,7,10,2,7,10,2,7,10,2,7,10,2,7,10,1,0,1,1,0,0
9715,43,7,1080,4050,2,2,7,43,2,7,43,2,7,43,2,7,43,2,7,43,2,7,43,1,0,0,0,1,0
9744,6,93,4185,608,2,2,93,6,2,93,6,2,93,6,2,93,6,2,93,6,2,93,6,1,0,0,1,0,0
9773,6,29,4185,1440,2,2,6,29,2,6,29,2,6,29,2,6,29,2,6,29,2,6,29,0,0,0,0,1,0
9802,48,6,1020,4535,2,2,48,6,2,48,6,2,48,6,2,48,6,2,48,6,2,48,6,1,0,0,0,0,1
9831,56,6,910,4715,2,2,56,6,2,56,6,2,56,6,2,56,6,2,56,6,2,56,6,0,1,0,0,1,1
9860,19,7,1755,4445,2,2,19,7,2,19,7,2,19,7,2,19,7,2,19,7,2,19,7,1,1,1,1,1,1
9889,10,7,3435,4445,2,2,7,10,2,7,10,2,7,10,2,7,10,2,7,10,2,7,10,1,1,1,1,1,1
9918,7,45,4445,1043,2,2,7,45,2,7,45,2,7,45,2,7,45,2,7,45,2,7,45,1,1,0,1,1,0
9947,7,109,4445,515,2,2,7,109,2,7,109,2,7,109,2,7,109,2,7,109,2,7,109,1,0,1,1,0,0
9976,82,7,700,4445,2,2,7,82,2,7,82,2,7,82,2,7,82,2,7,82,2,7,82,0,1,0,0,1,1
10005,10,7,3445,4085,2,2,10,7,2,10,7,2,10,7,2,10,7,2,10,7,2,10,7,1,1,1,1,1,1
10034,7,13,4085,2290,2,2,7,13,2,7,13,2,7,13,2,7,13,2,7,13,2,7,13,1,0,1,1,1,1
10063,7,27,4085,1525,2,2,7,27,2,7,27,2,7,27,2,7,27,2,7,27,2,7,27,1,0,1,1,1,0
10092,92,7,642,4085,2,2,7,92,2,7,92,2,7,92,2,7,92,2,7,92,2,7,92,1,0,1,0,1,1
10121,7,1,3905,9310,2,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,2,1,7,1,1,0,1,1,0
10150,12,7,2470,3905,2,2,7,12,2,7,12,2,7,12,2,7,12,2,7,12,2,7,12,1,0,1,1,0,1
10179,20,7,1745,3905,2,2,7,20,2,7,20,2,7,20,2,7,20,2,7,20,2,7,20,1,0,0,0,1,1
10208,5,82,5060,710,3,3,82,5,3,82,5,3,82,5,3,82,5,3,82,5,3,82,5,1,1,1,1,0,0
10237,256,5,217,5060,3,3,5,256,3,5,256,3,5,256,3,5,256,3,5,256,3,5,256,0,0,0,1,1,1
10266,22,6,1665,4860,3,3,6,22,3,6,22,3,6,22,3,6,22,3,6,22,3,6,22,1,1,1,1,1,1
10295,21,6,1675,4860,3,3,6,21,3,6,21,3,6,21,3,6,21,3,6,21,3,6,21,1,1,1,1,1,1
10324,13,6,2130,4860,3,3,6,13,3,6,13,3,6,13,3,6,13,3,6,13,3,6,13,1,1,0,1,1,0
10353,46,6,1050,4860,3,3,6,46,3,6,46,3,6,46,3,6,46,3,6,46,3,6,46,1,0,0,1,0,1
10382,33,6,1305,4860,3,3,6,33,3,6,33,3,6,33,3,6,33,3,6,33,3,6,33,0,1,0,0,1,1
10411,4,6,4950,4450,1,1,6,4,1,6,4,1,6,4,1,6,4,1,6,4,1,6,4,1,1,1,1,1,1
10440,4,18,4950,1940,1,1,4,18,1,4,18,1,4,18,1,4,18,1,4,18,1,4,18,1,1,1,1,1,1
10469,4,46,4950,1110,1,1,4,46,1,4,46,1,4,46,1,4,46,1,4,46,1,4,46,1,1,0,1,1,0
10498,6,93,4185,608,2,2,93,6,2,93,6,2,93,6,2,93,6,2,93,6,2,93,6,1,0,0,1,0,0
10527,93,59,608,865,2,2,93,59,2,93,59,2,93,59,2,93,59,2,93,59,2,93,59,0,0,0,0,0,1
10556,102,90,575,608,2,2,102,90,2,102,90,2,102,90,2,102,90,2,102,90,2,102,90,0,1,0,0,0,1
10585,82,7,700,4445,2,2,7,82,2,7,82,2,7,82,2,7,82,2,7,82,2,7,82,0,1,0,0,1,1
10614,7,92,4085,642,2,2,7,92,2,7,92,2,7,92,2,7,92,2,7,92,2,7,92,0,1,1,1,0,1
10643,92,35,642,1225,2,2,92,35,2,92,35,2,92,35,2,92,35,2,92,35,2,92,35,0,1,1,0,0,0
10672,93,832,617,20,2,2,832,93,2,832,93,2,832,93,2,832,93,2,832,93,2,832,93,1,1,0,1,1,0
10701,93,43,617,1025,2,2,93,43,2,93,43,2,93,43,2,93,43,2,93,43,2,93,43,1,0,0,0,1,0
10730,93,83,617,695,2,2,93,83,2,93,83,2,93,83,2,93,83,2,93,83,2,93,83,0,0,0,0,0,1
10759,93,42,617,1030,2,2,42,93,2,42,93,2,42,93,2,42,93,2,42,93,2,42,93,0,0,1,0,1,1
10788,43,94,1075,617,3,3,43,94,3,43,94,3,43,94,3,43,94,3,43,94,3,43,94,0,1,0,0,1,0
10817,95,30,607,1460,3,3,30,95,3,30,95,3,30,95,3,30,95,3,30,95,3,30,95,1,0,1,0,0,1
10846,13,23,2415,1780,2,2,13,23,2,13,23,2,13,23,2,13,23,2,13,23,2,13,23,1,0,1,1,0,0
10875,13,64,2415,805,2,2,13,64,2,13,64,2,13,64,2,13,64,2,13,64,2,13,64,0,1,1,0,1,0
10904,19,3,1815,6445,2,2,3,19,2,3,19,2,3,19,2,3,19,2,3,19,2,3,19,1,1,1,1,1,1
10933,2,19,6900,1815,2,2,19,2,2,19,2,2,19,2,2,19,2,2,19,2,2,19,2,1,1,1,1,1,1
10962,51,19,974,1815,2,2,19,51,2,19,51,2,19,51,2,19,51,2,19,51,2,19,51,1,1,1,1,1,1
10991,19,104,1815,560,2,2,19,104,2,19,104,2,19,104,2,19,104,2,19,104,2,19,104,1,0,0,1,0,0
11020,19,69,1815,785,2,2,19,69,2,19,69,2,19,69,2,19,69,2,19,69,2,19,69,0,0,0,0,1,0
11049,71,18,770,1825,2,2,71,18,2,71,18,2,71,18,2,71,18,2,71,18,2,71,18,0,0,1,0,0,1
11078,18,73,1825,758,2,2,73,18,2,73,18,2,73,18,2,73,18,2,73,18,2,73,18,0,1,1,1,0,1
11107,20,3,1735,5500,2,2,3,20,2,3,20,2,3,20,2,3,20,2,3,20,2,3,20,1,1,1,1,1,1
11136,20,36,1735,1182,2,2,20,36,2,20,36,2,20,36,2,20,36,2,20,36,2,20,36,1,1,0,1,1,1
11165,97,20,580,1735,2,2,20,97,2,20,97,2,20,97,2,20,97,2,20,97,2,20,97,1,0,1,1,0,1
11194,20,193,1735,288,2,2,20,193,2,20,193,2,20,193,2,20,193,2,20,193,2,20,193,0,1,0,0,0,0
11223,21,18,1745,1855,2,2,18,21,2,18,21,2,18,21,2,18,21,2,18,21,2,18,21,1,0,1,1,0,0
11252,56,21,927,1745,2,2,21,56,2,21,56,2,21,56,2,21,56,2,21,56,2,21,56,0,1,1,0,1,0
11281,7,20,3905,1745,2,2,7,20,2,7,20,2,7,20,2,7,20,2,7,20,2,7,20,0,1,1,1,0,0
11310,94,20,619,1745,2,2,20,94,2,20,94,2,20,94,2,20,94,2,20,94,2,20,94,0,0,1,0,0,1
11339,21,101,1745,568,1,1,101,21,1,101,21,1,101,21,1,101,21,1,101,21,1,101,21,0,1,1,1,0,1
11368,67,20,847,1745,3,3,67,20,3,67,20,3,67,20,3,67,20,3,67,20,3,67,20,0,0,1,1,1,1
11397,1,34,8920,1245,3,3,34,1,3,34,1,3,34,1,3,34,1,3,34,1,3,34,1,1,1,1,1,1,1
11426,50,34,1000,1245,3,3,34,50,3,34,50,3,34,50,3,34,50,3,34,50,3,34,50,1,1,0,1,1,0
11455,85,34,667,1245,3,3,34,85,3,34,85,3,34,85,3,34,85,3,34,85,3,34,85,1,0,0,1,0,1
11484,34,3,1245,5965,3,3,34,3,3,34,3,3,34,3,3,34,3,3,34,3,3,34,3,0,1,1,0,1,1
11513,12,40,2165,1200,1,1,12,40,1,12,40,1,12,40,1,12,40,1,12,40,1,12,40,1,1,0,1,1,0
11542,40,115,1200,466,1,1,40,115,1,40,115,1,40,115,1,40,115,1,40,115,1,40,115,1,0,0,1,0,1
11571,40,24,1200,1620,1,1,40,24,1,40,24,1,40,24,1,40,24,1,40,24,1,40,24,0,0,1,0,1,1
11600,7,35,3545,1296,1,1,7,35,1,7,35,1,7,35,1,7,35,1,7,35,1,7,35,1,0,1,1,1,0
11629,35,65,1296,855,1,1,35,65,1,35,65,1,35,65,1,35,65,1,35,65,1,35,65,1,0,1,1,0,1
11658,11,35,2280,1296,1,1,35,11,1,35,11,1,35,11,1,35,11,1,35,11,1,35,11,0,1,1,0,1,0
11687,13,39,2310,1251,1,1,13,39,1,13,39,1,13,39,1,13,39,1,13,39,1,13,39,1,0,0,1,0,1
11716,39,57,1251,891,1,1,39,57,1,39,57,1,39,57,1,39,57,1,39,57,1,39,57,0,1,1,0,0,1
11745,36,5,1366,4505,2,2,5,36,2,5,36,2,5,36,2,5,36,2,5,36,2,5,36,1,1,1,1,1,1
11774,36,11,1366,2335,2,2,36,11,2,36,11,2,36,11,2,36,11,2,36,11,2,36,11,1,0,1,1,0,1
11803,36,46,1366,1076,2,2,36,46,2,36,46,2,36,46,2,36,46,2,36,46,2,36,46,1,0,1,1,1,1
11832,36,45,1366,1080,2,2,36,45,2,36,45,2,36,45,2,36,45,2,36,45,2,36,45,0,1,1,1,0,1
11861,49,1,1026,10060,2,2,1,49,2,1,49,2,1,49,2,1,49,2,1,49,2,1,49,1,1,1,1,1,1
11890,49,9,1026,3080,2,2,49,9,2,49,9,2,49,9,2,49,9,2,49,9,2,49,9,1,1,1,1,1,1
11919,74,49,714,1026,2,2,49,74,2,49,74,2,49,74,2,49,74,2,49,74,2,49,74,1,1,1,1,1,1
11948,16,49,2255,1026,2,2,49,16,2,49,16,2,49,16,2,49,16,2,49,16,2,49,16,1,1,1,1,1,0
11977,22,49,1745,1026,2,2,49,22,2,49,22,2,49,22,2,49,22,2,49,22,2,49,22,0,1,0,1,0,1
12006,49,99,1026,586,2,2,49,99,2,49,99,2,49,99,2,49,99,2,49,99,2,49,99,0,1,1,0,0,1
12035,50,23,981,1845,2,2,23,50,2,23,50,2,23,50,2,23,50,2,23,50,2,23,50,1,1,0,1,1,0
12064,46,50,1075,981,2,2,50,46,2,50,46,2,50,46,2,50,46,2,50,46,2,50,46,1,0,1,1,0,0
12093,50,37,981,1305,2,2,50,37,2,50,37,2,50,37,2,50,37,2,50,37,2,50,37,0,0,1,0,0,1
12122,122,46,476,1036,2,2,122,46,2,122,46,2,122,46,2,122,46,2,122,46,2,122,46,0,1,0,0,1,1
12151,76,154,735,370,3,3,154,76,3,154,76,3,154,76,3,154,76,3,154,76,3,154,76,0,1,0,0,0,1
12180,7,75,3635,755,1,1,7,75,1,7,75,1,7,75,1,7,75,1,7,75,1,7,75,1,0,0,1,0,0
12209,66,75,850,755,1,1,75,66,1,75,66,1,75,66,1,75,66,1,75,66,1,75,66,0,1,1,0,0,1
12238,73,71,778,790,1,1,73,71,1,73,71,1,73,71,1,73,71,1,73,71,1,73,71,0,1,1,0,1,1
12267,47,9,1060,3125,1,1,9,47,1,9,47,1,9,47,1,9,47,1,9,47,1,9,47,1,1,0,1,0,1
12296,42,47,1145,1060,1,1,47,42,1,47,42,1,47,42,1,47,42,1,47,42,1,47,42,1,0,0,1,0,1
12325,15,47,2155,1060,1,1,47,15,1,47,15,1,47,15,1,47,15,1,47,15,1,47,15,1,0,0,0,1,0
12354,27,46,1585,1040,1,1,27,46,1,27,46,1,27,46,1,27,46,1,27,46,1,27,46,0,0,0,1,0,0
12383,207,46,279,1040,1,1,46,207,1,46,207,1,46,207,1,46,207,1,46,207,1,46,207,0,1,1,0,0,1
12412,41,37,1210,1280,1,1,37,41,1,37,41,1,37,41,1,37,41,1,37,41,1,37,41,0,1,1,0,0,1
12441,34,26,1310,1567,2,2,26,34,2,26,34,2,26,34,2,26,34,2,26,34,2,26,34,1,1,0,1,1,0
12470,6,34,3810,1310,2,2,34,6,2,34,6,2,34,6,2,34,6,2,34,6,2,34,6,1,0,1,1,0,1
12499,44,34,1166,1310,2,2,34,44,2,34,44,2,34,44,2,34,44,2,34,44,2,34,44,1,0,1,0,1,1
12528,31,20,1470,1985,1,1,20,31,1,20,31,1,20,31,1,20,31,1,20,31,1,20,31,1,1,0,1,1,1
12557,49,31,999,1470,1,1,31,49,1,31,49,1,31,49,1,31,49,1,31,49,1,31,49,1,1,0,1,0,1
12586,74,28,743,1375,2,2,28,74,2,28,74,2,28,74,2,28,74,2,28,74,2,28,74,1,0,0,1,0,1
12615,33,62,1238,850,2,2,33,62,2,33,62,2,33,62,2,33,62,2,33,62,2,33,62,1,0,1,1,0,1
12644,82,33,691,1238,2,2,33,82,2,33,82,2,33,82,2,33,82,2,33,82,2,33,82,0,0,1,0,1,0
12673,15,38,1962,1208,2,2,15,38,2,15,38,2,15,38,2,15,38,2,15,38,2,15,38,1,0,0,1,0,1
12702,29,38,1345,1208,2,2,38,29,2,38,29,2,38,29,2,38,29,2,38,29,2,38,29,1,1,1,0,1,1
12731,67,40,799,1133,2,2,67,40,2,67,40,2,67,40,2,67,40,2,67,40,2,67,40,1,1,1,1,1,1
12760,40,39,1133,1190,2,2,40,39,2,40,39,2,40,39,2,40,39,2,40,39,2,40,39,1,1,0,1,0,1
12789,40,80,1133,714,2,2,40,80,2,40,80,2,40,80,2,40,80,2,40,80,2,40,80,1,0,1,1,0,0
12818,100,40,590,1133,2,2,40,100,2,40,100,2,40,100,2,40,100,2,40,100,2,40,100,0,0,0,0,1,1
12847,7,45,4445,1043,2,2,7,45,2,7,45,2,7,45,2,7,45,2,7,45,2,7,45,1,1,0,1,1,0
12876,44,45,1055,1043,2,2,45,44,2,45,44,2,45,44,2,45,44,2,45,44,2,45,44,1,0,0,1,0,0
12905,45,64,1043,834,2,2,45,64,2,45,64,2,45,64,2,45,64,2,45,64,2,45,64,0,0,1,0,1,1
12934,43,57,1043,952,2,2,57,43,2,57,43,2,57,43,2,57,43,2,57,43,2,57,43,0,1,1,1,0,0
12963,72,3,803,5665,2,2,3,72,2,3,72,2,3,72,2,3,72,2,3,72,2,3,72,1,1,1,1,1,1
12992,46,72,1000,803,2,2,72,46,2,72,46,2,72,46,2,72,46,2,72,46,2,72,46,1,1,1,1,1,1
13021,23,72,1685,803,2,2,72,23,2,72,23,2,72,23,2,72,23,2,72,23,2,72,23,1,0,1,1,1,0
13050,34,72,1235,803,2,2,72,34,2,72,34,2,72,34,2,72,34,2,72,34,2,72,34,1,1,1,1,0,1
13079,72,92,803,619,2,2,72,92,2,72,92,2,72,92,2,72,92,2,72,92,2,72,92,0,1,0,0,1,1
13108,68,9,795,3490,2,2,9,68,2,9,68,2,9,68,2,9,68,2,9,68,2,9,68,1,0,0,0,1,1
13137,125,68,474,795,2,2,68,125,2,68,125,2,68,125,2,68,125,2,68,125,2,68,125,0,0,1,0,0,1
13166,68,110,801,515,1,1,110,68,1,110,68,1,110,68,1,110,68,1,110,68,1,110,68,0,1,1,0,1,0
13195,80,1,723,8770,3,3,1,80,3,1,80,3,1,80,3,1,80,3,1,80,3,1,80,1,1,0,1,1,1
13224,80,72,723,754,3,3,80,72,3,80,72,3,80,72,3,80,72,3,80,72,3,80,72,1,0,0,1,0,1
13253,80,29,723,1514,3,3,80,29,3,80,29,3,80,29,3,80,29,3,80,29,3,80,29,0,0,0,0,1,1
13282,90,77,644,719,3,3,90,77,3,90,77,3,90,77,3,90,77,3,90,77,3,90,77,0,0,1,0,0,1
13311,105,17,541,1950,1,1,17,105,1,17,105,1,17,105,1,17,105,1,17,105,1,17,105,0,1,0,0,1,1
13340,23,111,1732,497,1,1,23,111,1,23,111,1,23,111,1,23,111,1,23,111,1,23,111,0,0,1,1,0,0
13369,111,108,497,511,1,1,111,108,1,111,108,1,111,108,1,111,108,1,111,108,1,111,108,0,0,1,0,0,1
13398,130,374,428,109,2,2,374,130,2,374,130,2,374,130,2,374,130,2,374,130,2,374,130,0,1,0,0,0,0
13427,8,141,3200,401,2,2,8,141,2,8,141,2,8,141,2,8,141,2,8,141,2,8,141,1,1,1,1,0,0
13456,141,56,401,930,2,2,141,56,2,141,56,2,141,56,2,141,56,2,141,56,2,141,56,0,0,1,0,1,0
13485,4,36,5980,1222,2,2,4,36,2,4,36,2,4,36,2,4,36,2,4,36,2,4,36,1,1,0,1,1,0
13514,4,24,5980,1605,2,2,4,24,2,4,24,2,4,24,2,4,24,2,4,24,2,4,24,1,0,1,1,0,0
13543,4,50,5980,975,2,2,4,50,2,4,50,2,4,50,2,4,50,2,4,50,2,4,50,0,1,1,0,1,1
13572,6,3,4445,5500,2,2,6,3,2,6,3,2,6,3,2,6,3,2,6,3,2,6,3,1,1,1,1,1,1
13601,1,3,10040,5500,2,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,1,1,1,1,1,1
13630,11,3,3200,5500,2,2,3,11,2,3,11,2,3,11,2,3,11,2,3,11,2,3,11,1,1,1,1,1,1
13659,3,20,5500,1735,2,2,3,20,2,3,20,2,3,20,2,3,20,2,3,20,2,3,20,1,1,1,1,1,1
13688,3,32,5500,1330,2,2,3,32,2,3,32,2,3,32,2,3,32,2,3,32,2,3,32,1,1,0,1,1,0
13717,72,3,785,5500,2,2,3,72,2,3,72,2,3,72,2,3,72,2,3,72,2,3,72,1,0,0,1,0,1
13746,3,246,5500,222,2,2,3,246,2,3,246,2,3,246,2,3,246,2,3,246,2,3,246,0,1,1,0,1,0
13775,3,11,5410,3085,2,2,11,3,2,11,3,2,11,3,2,11,3,2,11,3,2,11,3,1,1,0,1,1,1
13804,3,18,5410,1855,2,2,3,18,2,3,18,2,3,18,2,3,18,2,3,18,2,3,18,1,0,1,1,1,0
13833,25,3,1595,5410,2,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,2,3,25,1,0,1,0,1,1
13862,4,15,5395,2030,2,2,15,4,2,15,4,2,15,4,2,15,4,2,15,4,2,15,4,1,1,1,1,1,1
13891,24,4,1665,5395,2,2,4,24,2,4,24,2,4,24,2,4,24,2,4,24,2,4,24,1,1,0,1,1,0
13920,87,15,677,2030,1,1,15,87,1,15,87,1,15,87,1,15,87,1,15,87,1,15,87,1,1,0,1,0,1
13949,52,87,966,677,1,1,87,52,1,87,52,1,87,52,1,87,52,1,87,52,1,87,52,1,0,1,1,0,0
13978,120,87,473,677,1,1,87,120,1,87,120,1,87,120,1,87,120,1,87,120,1,87,120,0,1,0,0,0,0
14007,88,70,667,780,3,3,70,88,3,70,88,3,70,88,3,70,88,3,70,88,3,70,88,0,0,1,0,1,1
14036,81,75,715,725,3,3,75,81,3,75,81,3,75,81,3,75,81,3,75,81,3,75,81,0,1,0,0,1,1
14065,11,69,2415,835,1,1,11,69,1,11,69,1,11,69,1,11,69,1,11,69,1,11,69,1,0,1,1,0,0
14094,69,278,835,201,1,1,69,278,1,69,278,1,69,278,1,69,278,1,69,278,1,69,278,0,0,0,0,0,0
14123,97,66,626,835,1,1,97,66,1,97,66,1,97,66,1,97,66,1,97,66,1,97,66,0,0,0,0,0,1
14152,70,41,800,1180,1,1,41,70,1,41,70,1,41,70,1,41,70,1,41,70,1,41,70,0,1,0,0,1,0
14181,7,78,3545,730,1,1,7,78,1,7,78,1,7,78,1,7,78,1,7,78,1,7,78,0,1,1,1,0,1
14210,78,54,730,977,1,1,78,54,1,78,54,1,78,54,1,78,54,1,78,54,1,78,54,0,1,0,0,1,0
14239,8,55,3755,920,2,2,55,8,2,55,8,2,55,8,2,55,8,2,55,8,2,55,8,1,0,0,1,0,0
14268,8,59,3755,862,2,2,8,59,2,8,59,2,8,59,2,8,59,2,8,59,2,8,59,0,0,1,0,0,1
14297,101,8,560,3790,2,2,101,8,2,101,8,2,101,8,2,101,8,2,101,8,2,101,8,0,1,1,0,1,0
14326,5,10,4700,3445,2,2,10,5,2,10,5,2,10,5,2,10,5,2,10,5,2,10,5,1,0,1,1,1,0
14355,5,44,4700,1030,2,2,5,44,2,5,44,2,5,44,2,5,44,2,5,44,2,5,44,0,1,1,1,0,1
14384,6,5,4355,4610,2,2,6,5,2,6,5,2,6,5,2,6,5,2,6,5,2,6,5,1,1,0,1,1,0
14413,5,41,4610,1065,2,2,5,41,2,5,41,2,5,41,2,5,41,2,5,41,2,5,41,1,0,0,1,1,0
14442,31,5,1305,4610,2,2,5,31,2,5,31,2,5,31,2,5,31,2,5,31,2,5,31,1,0,0,0,0,1
14471,6,224,4780,255,3,3,224,6,3,224,6,3,224,6,3,224,6,3,224,6,3,224,6,0,1,0,0,0,1
14500,22,5,1665,4870,3,3,22,5,3,22,5,3,22,5,3,22,5,3,22,5,3,22,5,1,0,1,1,0,1
14529,5,29,4870,1495,3,3,5,29,3,5,29,3,5,29,3,5,29,3,5,29,3,5,29,0,1,1,0,1,1
14558,35,5,1280,4870,1,1,35,5,1,35,5,1,35,5,1,35,5,1,35,5,1,35,5,1,1,0,1,1,0
14587,57,5,910,4870,1,1,5,57,1,5,57,1,5,57,1,5,57,1,5,57,1,5,57,1,0,1,1,0,0
14616,43,89,1061,636,2,2,89,43,2,89,43,2,89,43,2,89,43,2,89,43,2,89,43,0,1,0,0,0,1
