,P1Rank,P2Rank,P1Pts,P2Pts,Surface,AP1Surface,AP1Rank,AP1OppRank,BP1Surface,BP1Rank,BP1OppRank,CP1Surface,CP1Rank,CP1OppRank,AP2Surface,AP2Rank,AP2OppRank,BP2Surface,BP2Rank,BP2OppRank,CP2Surface,CP2Rank,CP2OppRank,AP1Win,BP1Win,CP1Win,AP2Win,BP2Win,CP2Win
45443,72,46,803,1000,2,2,72,46,2,72,46,2,72,46,2,72,46,2,72,46,2,72,46,1,1,1,1,1,1
45472,85,46,683,1000,2,2,46,85,2,46,85,2,46,85,2,46,85,2,46,85,2,46,85,1,1,1,1,1,0
45501,152,46,373,1000,2,2,46,152,2,46,152,2,46,152,2,46,152,2,46,152,2,46,152,1,1,0,1,0,0
45530,147,39,382,1095,1,1,147,39,1,147,39,1,147,39,1,147,39,1,147,39,1,147,39,1,0,1,1,0,0
45559,147,90,382,654,1,1,147,90,1,147,90,1,147,90,1,147,90,1,147,90,1,147,90,0,1,0,0,1,0
45588,36,157,1260,350,1,1,36,157,1,36,157,1,36,157,1,36,157,1,36,157,1,36,157,1,0,0,1,0,1
45617,157,91,350,669,1,1,157,91,1,157,91,1,157,91,1,157,91,1,157,91,1,157,91,0,1,0,0,0,0
45646,14,193,2175,299,1,1,14,193,1,14,193,1,14,193,1,14,193,1,14,193,1,14,193,0,1,1,1,0,0
45675,193,86,299,680,1,1,193,86,1,193,86,1,193,86,1,193,86,1,193,86,1,193,86,0,0,1,0,0,1
45704,43,122,1130,476,1,1,43,122,1,43,122,1,43,122,1,43,122,1,43,122,1,43,122,0,1,1,1,0,1
45733,59,8,862,3755,2,2,8,59,2,8,59,2,8,59,2,8,59,2,8,59,2,8,59,0,0,1,0,0,1
45762,87,55,676,911,2,2,87,55,2,87,55,2,87,55,2,87,55,2,87,55,2,87,55,0,1,0,0,1,0
45791,6,61,4445,876,2,2,6,61,2,6,61,2,6,61,2,6,61,2,6,61,2,6,61,1,1,1,1,0,1
45820,61,102,876,552,2,2,61,102,2,61,102,2,61,102,2,61,102,2,61,102,2,61,102,0,1,0,0,0,1
45849,17,38,1940,1160,2,2,38,17,2,38,17,2,38,17,2,38,17,2,38,17,2,38,17,1,1,0,1,1,1
45878,32,17,1265,1940,2,2,17,32,2,17,32,2,17,32,2,17,32,2,17,32,2,17,32,1,1,0,1,0,0
45907,17,87,1940,633,2,2,17,87,2,17,87,2,17,87,2,17,87,2,17,87,2,17,87,0,0,0,1,0,1
